Date, Time, AB, H, EBH, HR, HHA, AVG, SLG, LPH, Points, LD %, FB %, GB %, AvgV, MaxV, Dist, Tag
2/22/2019, 10:07 AM, 62, 40, 3, 0, .452, .645, .694, 1.065, 2692, 61, 8, 31, 81.8, 94.4, 292, 
2/21/2019, 6:36 PM, 2, 1, 0, 0, .000, .500, .500, .000, 67, 0, 100, 0, 78.1, 80.4, 275, 
2/18/2019, 10:53 AM, 32, 16, 1, 0, .688, .500, .531, 1.219, 1637, 53, 9, 38, 85.8, 93.4, 297, 
1/26/2019, 5:16 PM, 2, 1, 0, 0, .500, .500, .500, 1.000, 76, 50, 0, 50, 78.7, 92.1, 177, 
1/16/2019, 8:14 PM, 23, 16, 4, 0, .478, .696, .870, 1.087, 1136, 61, 13, 26, 82.9, 91.4, 307, 
1/14/2019, 7:39 PM, 32, 22, 2, 0, .438, .688, .750, .938, 1324, 50, 12, 38, 80.3, 88.7, 274, 
1/9/2019, 6:53 PM, 11, 5, 1, 0, .727, .455, .545, 1.273, 694, 55, 45, 0, 84.9, 90.9, 322, 
10/11/2018, 6:38 PM, 1, 1, 0, 0, .000, 1.000, 1.000, 1.000, 46, 100, 0, 0, 77.4, 77.4, 237, 
9/26/2018, 8:35 PM, 12, 7, 0, 0, .000, .583, .583, .583, 585, 58, 17, 25, 82.8, 88.6, 290, 
9/21/2018, 3:04 PM, 18, 3, 0, 0, .056, .167, .167, .333, 512, 28, 50, 22, 74.6, 89.9, 313, 
4/26/2018, 7:01 PM, 17, 5, 0, 0, .000, .294, .294, .176, 460, 18, 41, 41, 75.8, 83.8, 326, 
4/25/2018, 11:43 AM, 42, 22, 1, 0, .000, .524, .548, .500, 1650, 50, 29, 21, 78.9, 87.9, 304, 
4/17/2018, 2:16 PM, 88, 39, 8, 0, .045, .443, .557, .443, 3251, 40, 40, 20, 78.1, 98.5, 360, 
4/16/2018, 1:35 PM, 398, 166, 19, 0, .193, .417, .470, .558, 13248, 36, 19, 44, 74.3, 96.1, 355, 
4/12/2018, 2:24 PM, 46, 21, 4, 0, .022, .457, .543, .500, 1585, 48, 28, 24, 77.4, 89.6, 293, 
4/11/2018, 11:40 AM, 46, 27, 4, 0, .109, .587, .696, .565, 2122, 46, 39, 15, 79.8, 91.2, 333, 
4/4/2018, 5:38 PM, 25, 12, 1, 0, .000, .480, .520, .440, 941, 44, 32, 24, 77.8, 86.7, 308, 
4/3/2018, 8:37 PM, 20, 10, 0, 0, .000, .500, .500, .350, 482, 35, 20, 45, 74.4, 85.2, 304, 
3/21/2018, 6:16 PM, 11, 4, 0, 0, .091, .364, .364, .455, 241, 36, 64, 0, 69.6, 80.8, 297, 
3/21/2018, 11:34 AM, 58, 28, 5, 0, .103, .483, .569, .569, 2168, 47, 31, 22, 78.2, 97.2, 312, 
3/20/2018, 7:46 PM, 3, 2, 1, 0, .000, .667, 1.000, .333, 128, 33, 67, 0, 74.5, 84.3, 313, 
3/14/2018, 6:09 PM, 16, 9, 2, 0, .000, .563, .688, .500, 676, 50, 31, 19, 78.9, 85.1, 315, 
3/13/2018, 7:09 PM, 29, 12, 1, 0, .034, .414, .448, .379, 1015, 34, 34, 31, 78.3, 89.7, 328, 
3/13/2018, 12:20 PM, 57, 29, 5, 0, .053, .509, .596, .684, 2691, 63, 25, 12, 81.7, 89.7, 321, 
3/13/2018, 11:37 AM, 69, 28, 9, 0, .014, .406, .536, .348, 2943, 33, 43, 23, 79.2, 89.8, 317, 
3/9/2018, 1:15 PM, 31, 12, 4, 0, .129, .387, .581, .613, 1451, 48, 32, 19, 81.1, 92.3, 340, 
3/7/2018, 11:43 AM, 75, 42, 9, 0, .053, .560, .680, .440, 3240, 39, 36, 25, 80.5, 90.5, 335, 
3/6/2018, 11:39 AM, 81, 47, 10, 0, .222, .580, .716, .704, 3971, 48, 27, 25, 81.2, 96.3, 344, 
3/4/2018, 10:11 AM, 3, 0, 0, 0, .333, .000, .000, .333, 109, 0, 67, 33, 84.9, 88.5, 315, 
