Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"February 18, 2019 / 9:15am",Axe Avenge 2019 ,57,58,65,57.4,20.4,74,7,86,99,-40,3.28,0.13,23.4,70
"February 18, 2019 / 9:15am",Axe Avenge 2019 ,42,55,70,69.1,23.3,55,17,94,103,-39,4.76,0.13,24.7,82
"February 18, 2019 / 9:15am",Axe Avenge 2019 ,51,60,67,60.1,21.5,66,9,89,98,-41,3.44,0.13,24.8,67
"February 18, 2019 / 9:15am",Axe Avenge 2019 ,52,56,63,64.2,19.5,67,14,82,98,-50,3.92,0.13,21.5,83
"February 18, 2019 / 9:02am",Axe Avenge 2019 ,51,51,67,63.6,21.3,66,10,83,105,-44,3.85,0.13,24.9,83
"February 18, 2019 / 9:02am",Axe Avenge 2019 ,47,53,73,65.9,24.7,61,8,90,109,-45,4.53,0.12,25.5,85
"February 18, 2019 / 9:02am",Axe Avenge 2019 ,62,52,73,61.5,24.4,80,2,77,99,-42,3.95,0.12,24.8,76
"February 18, 2019 / 9:00am",Axe Avenge 2019 ,57,63,64,64.3,20.1,74,9,90,95,-38,4.06,0.13,24.9,78
"February 18, 2019 / 9:00am",Axe Avenge 2019 ,61,61,67,65.9,21.8,79,1,87,96,-42,4.62,0.12,24.8,79
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,56,62,59,65.3,17.4,73,7,90,97,-40,4.18,0.13,24.7,83
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,47,58,76,65.5,26.3,62,12,86,98,-38,4.48,0.12,25.6,78
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,57,57,67,66.8,21.7,73,7,81,95,-41,4.59,0.12,25.5,85
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,53,65,62,66.7,18.7,69,13,91,91,-26,4.17,0.14,23.7,85
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,48,61,66,63.4,20.8,63,13,96,92,-24,3.94,0.13,22.5,79
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,48,62,72,66.2,23.9,62,17,92,96,-33,4.5,0.12,23.5,77
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,63,57,69,63.9,22.5,81,0,84,98,-42,4.48,0.12,25.1,79
"February 18, 2019 / 8:59am",Axe Avenge 2019 ,49,59,81,60.4,29,63,11,88,99,-39,3.75,0.12,24.7,76
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,47,59,68,76.4,22.2,62,23,98,86,-27,5.99,0.12,22.8,78
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,51,57,69,69.5,22.5,66,18,102,87,-23,4.89,0.13,22.4,77
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,52,58,70,68.9,23.1,67,14,101,92,-29,4.97,0.12,24.2,84
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,47,59,72,75.5,23.9,62,20,100,90,-26,6.06,0.12,23.9,79
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,59,65,66,69.9,21,77,8,89,89,-35,5.02,0.12,25.4,83
"February 18, 2019 / 8:58am",Axe Avenge 2019 ,58,63,60,69.3,17.9,75,11,91,95,-30,4.78,0.13,24.8,85
"February 18, 2019 / 8:57am",Axe Avenge 2019 ,58,61,66,68.9,21.2,76,7,88,96,-37,5.04,0.12,25.1,85
"February 18, 2019 / 8:57am",Axe Avenge 2019 ,48,53,74,72,25.4,62,16,101,99,-29,5.61,0.12,24.3,83
"February 18, 2019 / 8:57am",Axe Avenge 2019 ,57,62,72,71.9,24.2,74,14,87,93,-34,5.4,0.12,25,85
"February 18, 2019 / 8:56am",Axe Avenge 2019 ,57,64,70,70.7,22.9,75,7,88,92,-33,5.5,0.12,25,85
